Description	Accession
EST: zw85e11.r1 Soares total fetus Nb2HF8 9w Homo sapiens cDNA clone 783788 5' similar to SW:KAD3_BOVIN P08760 GTP:AMP PHOSPHOTRANSFERASE MITOCHONDRIAL ;, mRNA sequence. (from Genbank)	AA476639_at
EST: zw87h02.r1 Soares total fetus Nb2HF8 9w Homo sapiens cDNA clone 783987 5', mRNA sequence. (from Genbank)	AA476704_at
EST: zw95c04.r1 Soares total fetus Nb2HF8 9w Homo sapiens cDNA clone 784710 5', mRNA sequence. (from Genbank)	AA476801_at
Neuronal PAS domain protein 2	AA476894_at
EST: zu31b06.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 739571 5', mRNA sequence. (from Genbank)	AA476967_at
EST: zu31d11.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 739605 5', mRNA sequence. (from Genbank)	AA476991_at
EST: zu38a10.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 740250 5', mRNA sequence. (from Genbank)	AA477018_s_at
EST: zu38c01.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 740256 5', mRNA sequence. (from Genbank)	AA477031_at
EST: zu38d08.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 740271 5', mRNA sequence. (from Genbank)	AA477046_at
EST: zu28h04.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 739351 5' similar to contains Alu repetitive element;, mRNA sequence. (from Genbank)	AA477214_at
EST: zu43d11.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 740757 5', mRNA sequence. (from Genbank)	AA477274_s_at
EST: zu43f11.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 740781 5', mRNA sequence. (from Genbank)	AA477288_at
Homo sapiens clone 640 unknown mRNA, complete sequence	AA477375_s_at
Discs, large (Drosophila) homolog 3 (neuroendocrine-dlg)	AA477567_at
EST: zu44f01.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 740857 5', mRNA sequence. (from Genbank)	AA477600_at
EST: zu41e12.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 740590 5', mRNA sequence. (from Genbank)	AA477676_at
EST: zu44c11.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 740852 5', mRNA sequence. (from Genbank)	AA477702_at
EST: zu44e10.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 740874 5', mRNA sequence. (from Genbank)	AA477715_at
EST: zu34e12.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 739918 5', mRNA sequence. (from Genbank)	AA477891_at
Zu39b08.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 740343 5' similar to WP:F37A4.1 CE00711 ;, mRNA sequence. (from Genbank)	AA477919_at
Short-chain dehydrogenase/reductase 1	AA477978_s_at
EST: zu42c09.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 740656 5' similar to SW:BI3_MOUSE P28662 BRAIN PROTEIN I3 ;, mRNA sequence. (from Genbank)	AA478129_at
EST: zu42c10.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 740658 5' similar to TR:G433963 G433963 P18H-REV 107. ;, mRNA sequence. (from Genbank)	AA478131_at
Murine leukemia viral (bmi-1) oncogene homolog	AA478194_at
EST: zu40e10.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 740490 5', mRNA sequence. (from Genbank)	AA478207_at
Homo sapiens EVI5 homolog mRNA, complete cds	AA478512_at
EST: zv19f08.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 754119 5', mRNA sequence. (from Genbank)	AA478674_at
EST: zv09a02.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 753098 5', mRNA sequence. (from Genbank)	AA478688_at
Interleukin 13 receptor, alpha 1	AA478704_at
Homo sapiens mRNA for KIAA0582 protein, partial cds	AA478834_at
Zinc finger protein 143 (clone pHZ-1)	AA478936_at
EST: zv20b10.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 754171 5' similar to TR:G1209718 G1209718 HYPOTHETICAL 50.1 KD PROTEIN. ;, mRNA sequence. (from Genbank)	AA479127_at
EST: zv20c09.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 754192 5', mRNA sequence. (from Genbank)	AA479132_at
Zv20e09.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 754216 5', mRNA sequence. (from Genbank)	AA479146_at
EST: zv17h06.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 753947 5', mRNA sequence. (from Genbank)	AA479266_at
EST: zv21d12.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 754295 5', mRNA sequence. (from Genbank)	AA479501_s_at
EST: zv21e09.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 754312 5', mRNA sequence. (from Genbank)	AA479503_at
EST: zv21g11.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 754340 5', mRNA sequence. (from Genbank)	AA479521_s_at
EST: zu42b02.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 740619 5', mRNA sequence. (from Genbank)	AA479567_at
EST: zu36d03.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 740069 5', mRNA sequence. (from Genbank)	AA479640_at
Solute carrier family 16 (monocarboxylic acid transporters), member 3	AA479826_at
EST: zu43g02.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 740786 5' similar to TR:G1001232 G1001232 HYPOTHETICAL 21.5 KD PROTEIN. ;, mRNA sequence. (from Genbank)	AA479835_s_at
EST: zv18a05.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 753968 5', mRNA sequence. (from Genbank)	AA479990_at
Discs, large (Drosophila) homolog 5	AA479995_at
EST: zv18b06.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 753971 5', mRNA sequence. (from Genbank)	AA479996_at
EST: zv18f06.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 754019 5', mRNA sequence. (from Genbank)	AA480025_at
EST: zv42a08.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 756278 5', mRNA sequence. (from Genbank)	AA480073_at
EST: zv42b05.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 756273 5', mRNA sequence. (from Genbank)	AA480074_at
EST: zv42b07.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 756277 5' similar to TR:G1174092 G1174092 REVERSE TRANSCRIPTASE ;, mRNA sequence. (from Genbank)	AA480076_at
EST: zv42h10.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 756355 5', mRNA sequence. (from Genbank)	AA480143_at
EST: zx87d05.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 810729 5' similar to TR:G1262329 G1262329 RETICULOCALBIN PRECURSOR. ;contains Alu repetitive element;, mRNA sequence. (from Genbank)	AA480828_at
EST: zx87e06.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 810754 5', mRNA sequence. (from Genbank)	AA480838_s_at
EST: aa28c12.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:814582 5', mRNA sequence. (from Genbank)	AA480941_at
EST: aa29d01.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:814657 5', mRNA sequence. (from Genbank)	AA481107_at
EST: aa34c11.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:815156 5', mRNA sequence. (from Genbank)	AA481200_s_at
EST: aa34c12.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:815158 5', mRNA sequence. (from Genbank)	AA481201_at
EST: aa34e09.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:815176 5', mRNA sequence. (from Genbank)	AA481218_at
EST: zv06a05.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 752816 5', mRNA sequence. (from Genbank)	AA481308_at
EST: zv06a06.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 752818 5', mRNA sequence. (from Genbank)	AA481309_at
EST: zv06e03.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 752860 5' similar to gb:U01120 GLUCOSE-6-PHOSPHATASE (HUMAN);, mRNA sequence. (from Genbank)	AA481327_at
EST: aa35e09.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:815272 5', mRNA sequence. (from Genbank)	AA481595_at
Cell division cycle 2, G1 to S and G2 to M	AA481617_at
Golgi SNAP receptor complex member 1	AA481647_at
EST: zv06g11.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 752900 5', mRNA sequence. (from Genbank)	AA481670_at
Deleted in oral cancer-1	AA481723_at
BAI1-associated protein 3	AA481839_at
Cathepsin Z	AA481918_at
EST: zv43g08.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 756446 5', mRNA sequence. (from Genbank)	AA481982_f_at
EST: ab15c03.r1 Stratagene lung (#937210) Homo sapiens cDNA clone 840868 5', mRNA sequence. (from Genbank)	AA482319_i_at
EST: ab15c03.r1 Stratagene lung (#937210) Homo sapiens cDNA clone 840868 5', mRNA sequence. (from Genbank)	AA482319_f_at
EST: zv05h05.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 752793 5', mRNA sequence. (from Genbank)	AA482390_at
EST: zt34c01.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 724224 5', mRNA sequence. (from Genbank)	AA482407_s_at
EST: zv05b12.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 752735 5', mRNA sequence. (from Genbank)	AA482453_at
EST: aa41b03.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:815789 5', mRNA sequence. (from Genbank)	AA484944_at
EST: aa39b02.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:815595 5', mRNA sequence. (from Genbank)	AA484982_at
Manic fringe (Drosophila) homolog	AA484997_at
Aa41g01.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:815856 5', mRNA sequence. (from Genbank)	AA485038_at
Peroxisomal biogenesis factor 14	AA485536_at
EST: zx90e01.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 811032 5', mRNA sequence. (from Genbank)	AA485585_at
EST: zx91b11.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 811101 5', mRNA sequence. (from Genbank)	AA485805_at
EST: ab14c10.r1 Stratagene lung (#937210) Homo sapiens cDNA clone 840786 5', mRNA sequence. (from Genbank)	AA486144_at
EST: ab14g07.r1 Stratagene lung (#937210) Homo sapiens cDNA clone 840828 5', mRNA sequence. (from Genbank)	AA486248_at
EST: ab13a09.r1 Stratagene lung (#937210) Homo sapiens cDNA clone 840664 5', mRNA sequence. (from Genbank)	AA486335_at
EST: ab38g04.r1 Stratagene HeLa cell s3 937216 Homo sapiens cDNA clone 843126 5' similar to TR:G728657 G728657 HYPOTHETICAL 20.9 KD PROTEIN. ;, mRNA sequence. (from Genbank)	AA486511_at
KIAA0618 gene product	AA486831_s_at
EST: ab17d06.r1 Stratagene lung (#937210) Homo sapiens cDNA clone 841067 5', mRNA sequence. (from Genbank)	AA486946_at
EST: ab24f09.r1 Stratagene lung (#937210) Homo sapiens cDNA clone 841769 5', mRNA sequence. (from Genbank)	AA487015_s_at
EST: ad07a08.r1 Soares NbHFB Homo sapiens cDNA clone 877526 5' similar to SW:YAH8_YEAST P39707 HYPOTHETICAL 31.3 KD PROTEIN IN RFA1-ADE1 INTERGENIC REGION. ;, mRNA sequence. (from Genbank)	AA488103_at
Homo sapiens mRNA for APS, complete cds	AA488108_at
Pyruvate dehydrogenase kinase, isoenzyme 2	AA488122_at
EST: ad08c03.r1 Soares NbHFB Homo sapiens cDNA clone 877636 5', mRNA sequence. (from Genbank)	AA488230_at
Human placenta (Diff33) mRNA, complete cds	AA488505_at
Aa54d11.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824757 5', mRNA sequence. (from Genbank)	AA488793_at
EST: aa55c10.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824850 5' similar to TR:G1167506 G1167506 PROTEIN KINASE. ;, mRNA sequence. (from Genbank)	AA488935_at
Ab36e04.r1 Stratagene HeLa cell s3 937216 Homo sapiens cDNA clone 842910 5', mRNA sequence. (from Genbank)	AA489287_at
EST: ab36f06.r1 Stratagene HeLa cell s3 937216 Homo sapiens cDNA clone 842915 5' similar to contains element L1 repetitive element ;, mRNA sequence. (from Genbank)	AA489294_s_at
Homo sapiens ADA3-like protein mRNA, complete cds	AA489299_at
EST: aa43a01.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 823656 5' similar to contains element MER22 repetitive element ;, mRNA sequence. (from Genbank)	AA489716_at
EST: aa43f10.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 823723 5', mRNA sequence. (from Genbank)	AA490192_at
EST: aa42g01.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 823632 5', mRNA sequence. (from Genbank)	AA490564_at
EST: aa42g09.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 823648 5', mRNA sequence. (from Genbank)	AA490572_at
Aa01g06.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 812026 5', mRNA sequence. (from Genbank)	AA490648_at
EST: aa45b03.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 823853 5', mRNA sequence. (from Genbank)	AA490685_at
EST: aa45b09.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 823865 5' similar to SW:HXDB_NOTVI P31263 HOMEOBOX PROTEIN HOX-D11 ;, mRNA sequence. (from Genbank)	AA490691_at
No info for gene	AA490758_at
EST: aa45g01.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 823920 5' similar to contains Alu repetitive element;, mRNA sequence. (from Genbank)	AA490775_at
EST: aa46e04.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:823998 5', mRNA sequence. (from Genbank)	AA491114_at
EST: aa52g02.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:824594 5', mRNA sequence. (from Genbank)	AA491188_at
EST: aa65e11.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825836 5', mRNA sequence. (from Genbank)	AA491376_at
EST: zw04a10.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 768282 5', mRNA sequence. (from Genbank)	AA495729_at
EST: zw04d05.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 768297 5', mRNA sequence. (from Genbank)	AA495758_s_at
Golgi autoantigen, golgin subfamily a, 2	AA495845_at
EST: zw05b08.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 768375 5', mRNA sequence. (from Genbank)	AA495857_at
EST: zw05c07.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 768396 5', mRNA sequence. (from Genbank)	AA495865_at
EST: zw05g04.r1 Soares NhHMPu S1 Homo sapiens cDNA clone 768438 5', mRNA sequence. (from Genbank)	AA495909_at
EST: zu67c08.r1 Soares testis NHT Homo sapiens cDNA clone 743054 5', mRNA sequence. (from Genbank)	AA496083_at
MRJ gene for a member of the DNAJ protein family	AA496105_at
EST: zx70c12.r1 Soares total fetus Nb2HF8 9w Homo sapiens cDNA clone 796822 5', mRNA sequence. (from Genbank)	AA496215_at
Zx70g11.r1 Soares total fetus Nb2HF8 9w Homo sapiens cDNA clone 796868 5', mRNA sequence. (from Genbank)	AA496240_at
EST: zv37d02.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 755811 5', mRNA sequence. (from Genbank)	AA496423_at
EST: zv36h01.r1 Soares ovary tumor NbHOT Homo sapiens cDNA clone 755761 5', mRNA sequence. (from Genbank)	AA496526_s_at
Tubulin-specific chaperone a	AA504095_at
Chromosome-associated polypeptide C	AA504223_at
Alpha thalassemia/mental retardation syndrome X-linked	AA504307_at
EST: aa59c02.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825218 5' similar to contains element MIR repetitive element ;, mRNA sequence. (from Genbank)	AA504384_at
EST: aa59e07.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825252 5', mRNA sequence. (from Genbank)	AA504413_at
EST: aa59g12.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825286 5', mRNA sequence. (from Genbank)	AA504439_at
EST: aa60a03.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825292 5', mRNA sequence. (from Genbank)	AA504524_at
EST: aa60b09.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825305 5', mRNA sequence. (from Genbank)	AA504538_at
EST: aa60c12.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825334 5', mRNA sequence. (from Genbank)	AA504549_at
Homo sapiens g16 protein (g16) mRNA, complete cds	AA504565_at
EST: aa60g12.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825382 5', mRNA sequence. (from Genbank)	AA504595_at
EST: ab02e07.r1 Stratagene fetal retina 937202 Homo sapiens cDNA clone 839652 5' similar to SW:SUCA_RAT P13086 SUCCINYL-COA LIGASE ;, mRNA sequence. (from Genbank)	AA504692_at
EST: aa63e01.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825624 5', mRNA sequence. (from Genbank)	AA504736_at
EST: aa63f03.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825629 5', mRNA sequence. (from Genbank)	AA504744_at
Homo sapiens mRNA for KIAA0853 protein, partial cds	AA505182_at
EST: aa58c03.r1 NCI_CGAP_GCB1 Homo sapiens cDNA clone IMAGE:825124 5', mRNA sequence. (from Genbank)	AA505198_at
HBMSF1B1-REV Human Bone Marrow Stromal Fibroblast Homo sapiens cDNA clone HBMSF1B1 5', mRNA sequence. (from Genbank)	AA545746_at
Osteomodulin	AB000114_at-2
Small inducible cytokine subfamily A (Cys-Cys), member 18, pulmonary and activation-regulated	AB000221_at
SH3-domain binding protein 2	AB000463_s_at
Homo sapiens mRNA, exon 1, 2, 3, 4, clone:RES4-24A	AB000464_at-2
KIAA0294 gene product	AB002292_at
Human mRNA for KIAA0295 gene, partial cds	AB002293_at
KIAA0296 gene product	AB002294_at
KIAA0298 gene product	AB002296_at
Dedicator of cyto-kinesis 3	AB002297_at
Human mRNA for KIAA0300 gene, partial cds	AB002298_at
Human mRNA for KIAA0301 gene, partial cds	AB002299_at
Human mRNA for KIAA0302 gene, partial cds. (from Genbank)	AB002300_at
Human mRNA for KIAA0303 gene, partial cds	AB002301_at
KIAA0304 gene product	AB002302_at
KIAA0305 gene product	AB002303_at
Human mRNA for KIAA0306 gene, partial cds	AB002304_at
KIAA0307 gene product	AB002305_at
Human mRNA for KIAA0308 gene, partial cds	AB002306_at
Human mRNA for KIAA0309 gene, partial cds	AB002307_at
KIAA0310 gene product	AB002308_at
A-kinase anchor protein 100	AB002309_at
Upstream regulatory element binding protein 1	AB002310_at
KIAA0313 gene product	AB002311_at
Human mRNA for KIAA0314 gene, partial cds. (from Genbank)	AB002312_at
Human mRNA for KIAA0315 gene, partial cds	AB002313_at
KIAA0316 gene product	AB002314_at-2
Human mRNA for KIAA0318 gene, partial cds. (from Genbank)	AB002316_at
KIAA0319 gene product	AB002317_s_at
Human mRNA for KIAA0321 gene, partial cds. (from Genbank)	AB002319_at
Human mRNA for KIAA0322 gene, partial cds	AB002320_at
Human mRNA for KIAA0323 gene, partial cds	AB002321_at
Human mRNA for KIAA0324 gene, partial cds. (from Genbank)	AB002322_at
Human mRNA for KIAA0325 gene, partial cds. (from Genbank)	AB002323_at
Human mRNA for KIAA0326 gene, partial cds	AB002324_at
KIAA0327 gene product	AB002325_at
Human mRNA for KIAA0328 gene, partial cds	AB002326_at
KIAA0329 gene product	AB002327_at
Human mRNA for KIAA0330 gene, partial cds. (from Genbank)	AB002328_at
KIAA0331 gene product	AB002329_at
Human mRNA for KIAA0332 gene, partial cds	AB002330_at
Human mRNA for KIAA0333 gene, partial cds	AB002331_at
KIAA0335 gene product	AB002333_at
KIAA0337 gene product	AB002335_at
Human mRNA for KIAA0338 gene, partial cds	AB002336_at
KIAA0339 gene product	AB002337_at
Human mRNA for KIAA0340 gene, partial cds	AB002338_at
Human mRNA for KIAA0341 gene, partial cds	AB002339_at
KIAA0342 gene product	AB002340_at
KIAA0344 gene product	AB002342_at
KIAA0345 gene product	AB002343_at
Human mRNA for KIAA0346 gene, partial cds	AB002344_at
PERIOD, DROSOPHILA, HOMOLOG OF, 2	AB002345_at
Inositol phosphate 5'-phosphatase 2 (synaptojanin 2)	AB002346_at
Human mRNA for KIAA0349 gene, partial cds	AB002347_at
Human mRNA for KIAA0350 gene, partial cds	AB002348_at
KIAA0351 gene product	AB002349_at
KIAA0352 gene product	AB002350_at
Human mRNA for KIAA0353 gene, partial cds	AB002351_at
KIAA0354 gene product	AB002352_at
KIAA0355 gene product	AB002353_at
KIAA0356 gene product	AB002354_at
Human mRNA for KIAA0357 gene, partial cds	AB002355_s_at
Kinesin family protein 3B	AB002357_at
Human mRNA for KIAA0361 gene, KIAA0361 protein	AB002359_s_at
Human mRNA for KIAA0362 gene, partial cds	AB002360_at
Human mRNA for KIAA0363 gene, partial cds	AB002361_at
Human mRNA for KIAA0364 gene, complete cds. (from Genbank)	AB002362_at
Human mRNA for KIAA0366 gene, partial cds	AB002364_at
Doublecortin and CaM kinase-like 1	AB002367_at
Human mRNA for KIAA0370 gene, partial cds	AB002368_at
Myotubularin related protein 3	AB002369_at
KIAA0372 gene product	AB002370_at
KIAA0373 gene product	AB002371_at
KIAA0374 gene product	AB002372_at
KIAA0375 gene product	AB002373_at
Human mRNA for KIAA0376 gene, partial cds	AB002374_at
KIAA0377 gene product	AB002375_at
Human mRNA for KIAA0378 gene, partial cds. (from Genbank)	AB002376_at
Human mRNA for KIAA0379 gene, partial cds	AB002377_at
KIAA0380 gene product	AB002378_at
Human mRNA for KIAA0381 gene, partial cds. (from Genbank)	AB002379_at
Human mRNA for KIAA0383 gene, partial cds. (from Genbank)	AB002381_at
KIAA0386 gene product	AB002384_at
Myosin VI	AB002387_at
KIAA0390 gene product	AB002388_at
KIAA0391 gene product	AB002389_at
Human mRNA for KIAA0392 gene, partial cds. (from Genbank)	AB002390_at
Differentiated Embryo Chondrocyte expressed gene 1	AB004066_at
Peroxisome biogenesis factor 1::Human BAC clone RG083M05 from 7q21-7q22	AC000064_cds2_at-2
Human DNA sequence from PAC 196E23 on chromosome Xq26.1-27.2. Contains the TAT-SF1 (HIV-1 transcriptional elongation factor TAT cofactor TAT-SF1) gene, the BRS3 (Bombesin Receptor subtype-3 (Uterine Bombesin Receptor, BRS-3) gene, an unknown gene coding for two isoforms, a predicted CpG island, ESTs and STSs	AC000115_cds1_at-2
Endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 4	AC002306_at
Human DNA from chromosome 19-specific cosmid F25965, genomic sequence::Human DNA from chromosome 19-specific cosmid F25965, genomic sequence::Human DNA from chromosome 19-specific cosmid F25965, genomic sequence	AC002398_cds4_at
Phenylalanine-tRNA synthetase-like::Human erythroid-specific transcription factor EKLF mRNA, complete cds::calreticulin::Homo sapiens DNA from chromosome 19p13.2 cosmids R31240, R30272 and R28549 containing the EKLF, GCDH, CRTC, and RAD23A genes, genomic sequence::Homo sapiens DNA from chromosome 19p13.2 cosmids R31240, R30272 and R28549 containing the EKLF, GCDH, CRTC, and RAD23A genes, genomic sequence	AD000092_cds1_at-2
Homo sapiens lysophosphatidic acid acyltransferase mRNA, complete cds	AF000237_s_at
Homo sapiens LST1 mRNA, cLST1/A splice variant, complete cds	AF000425_at
Homo sapiens purinergic receptor P2Y5 mRNA, complete cds	AF000546_at
Homo sapiens HIV-1 inducer of short transcripts binding protein (FBI1) mRNA, complete cds	AF000561_at
Homo sapiens monocyte/macrophage Ig-related receptor MIR-10 (MIR cl-10) mRNA, complete cds	AF000574_s_at
Human clone HL9 monocyte inhibitory receptor precursor mRNA, complete cds	AF000575_s_at
Secreted frizzled-related  protein 1	AF001900_at
Inhibitor of growth 1	AF001954_at
Homo sapiens neural cell adhesion molecule (CALL) mRNA, complete cds. (from Genbank)	AF002246_at
Homo sapiens killer cell receptor (KIR103) mRNA, allele AS, complete cds	AF002256_f_at
Membrane fatty acid (lipid) desaturase	AF002668_at
Loss of heterozygosity, 11, chromosomal region 2, gene A	AF002672_at
Jagged 2	AF003521_at
Serine/threonine kinase 12	AF004022_at
Homo sapiens clone IMAGE:30181 mRNA sequence	AF004292_at
Protein kinase mitogen- activated 13	AF004709_at
Jerky (mouse) homolog-like	AF004715_at
Secretory carrier membrane protein 2	AF005038_at
Secretory carrier membrane protein 3	AF005039_at
FMFRamide-related peptide precursor	AF005271_at
Homo sapiens dishevelled 2 (DVL2) mRNA, complete cds. (from Genbank)	AF006012_at
Actin-related protein 2	AF006082_at
Actin-related protein 3	AF006083_at
ARP2/3 protein complex subunit p21	AF006086_at
Arp2/3 protein complex subunit p16	AF006088_at
Estrogen receptor-binding fragment-associated gene 9	AF006265_at
Spectrin SH3 domain binding protein 1	AF006516_at
Mouse double minute 4, human homolog of; p53-binding protein	AF007111_at-2
Homo sapiens nuclear DEAF-1 related transcriptional regulator protein mRNA, complete cds	AF007165_at
Solute carrier family 4, sodium bicarbonate cotransporter, member 4	AF007216_at
Homo sapiens kruppel-related zinc finger protein hcKrox mRNA, complete cds	AF007833_at
Homo sapiens putative GR6 protein (GR6) mRNA, complete cds	AF008192_at
RNA polymerase I subunit	AF008442_at
Axin	AF009674_at-2
Bagpipe homeobox (Drosophila) homolog 1	AF009801_at
Synuclein, gamma (breast cancer-specific protein 1)	AF010126_at
Homo sapiens MAD-related gene SMAD7 (SMAD7) mRNA, complete cds	AF010193_at-2
Homo sapiens RAGE binding protein (P12) mRNA, complete cds	AF011757_at
Homo sapiens visual pigment-like receptor peropsin (Rrh) mRNA, complete cds	AF012270_at-2
Outer dense fibre of sperm tails 2	AF012549_at
Chemokine receptor	AF014958_at-2
Homo sapiens mRNA for calpain-like protease CANPX	AJ000388_at
EST: HUMGS0002402, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C00014_at
EST: HUMGS0002519, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C00021_s_at
EST: HUMGS0003377, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C00032_at
EST: HUMGS0003443, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C00038_s_at
EST: HUMGS0005724, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C00100_at
EST: HUMGS0005758, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C00125_s_at
Homo sapiens clone 24658 mRNA sequence	C00155_at
Synaptic glycoprotein SC2	C00180_f_at
EST: HUMGS0005838, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C00185_at
EST: HUMGS0005882, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C00219_at
EST: HUMGS0005889, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C00225_s_at
EST: HUMGS0006018, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C00314_at
EST: HUMGS0002430, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C00337_at
Ribosomal protein L33-like	C00350_f_at
EST: HUMGS0003103, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C00351_s_at
EST: HUMGS0003384, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C00358_at
EST: HUMGS0005632, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C00424_s_at
EST: HUMGS0006582, Human Gene Signature, 3'-directed cDNA sequence, mRNA sequence. (from Genbank)	C00449_s_at
