year,age,maritl,race,education,region,jobclass,health,health_ins,salario_alto
2008,29,Married,Other,< HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2006,50,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,25,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,35,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,41,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,38,Married,White,College Grad,Middle Atlantic,Information,<=Good,Yes,Si
2008,49,Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,Si
2004,36,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,Si
2005,66,Never Married,Black,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,23,Never Married,White,< HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2004,28,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2007,42,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,20,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2009,37,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,58,Married,White,HS Grad,Middle Atlantic,Information,<=Good,No,No
2004,45,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2006,64,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2009,45,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2007,52,Divorced,White,Some College,Middle Atlantic,Information,<=Good,Yes,No
2005,42,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,No,Si
2005,32,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,40,Separated,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2005,55,Married,White,College Grad,Middle Atlantic,Information,<=Good,Yes,Si
2004,46,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2008,55,Separated,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,53,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2005,33,Married,Asian,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,45,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2006,54,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2004,32,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2005,42,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,No,Si
2004,35,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,54,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,38,Married,White,Some College,Middle Atlantic,Information,<=Good,Yes,No
2004,31,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,41,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,45,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,49,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2004,50,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,40,Never Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2003,29,Married,Black,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2006,25,Never Married,White,Some College,Middle Atlantic,Industrial,<=Good,No,No
2004,32,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2007,51,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2008,29,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2005,32,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,42,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,59,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,31,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,No,No
2006,29,Married,White,Some College,Middle Atlantic,Information,<=Good,No,No
2006,52,Never Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2006,35,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2008,28,Never Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2006,50,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2004,49,Divorced,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2009,39,Married,White,HS Grad,Middle Atlantic,Information,<=Good,No,No
2003,26,Never Married,Other,College Grad,Middle Atlantic,Information,>=Very Good,No,No
2003,31,Never Married,Black,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2007,50,Never Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2009,62,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,35,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,Si
2005,22,Never Married,Black,Some College,Middle Atlantic,Information,>=Very Good,No,No
2003,55,Never Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2006,63,Married,White,Some College,Middle Atlantic,Information,<=Good,Yes,Si
2004,63,Divorced,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2008,39,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2003,28,Married,White,< HS Grad,Middle Atlantic,Information,>=Very Good,No,Si
2006,43,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,58,Married,Black,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,38,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,49,Married,Black,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,62,Married,White,Some College,Middle Atlantic,Information,<=Good,No,No
2004,36,Married,White,Some College,Middle Atlantic,Information,<=Good,Yes,No
2004,54,Divorced,White,College Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2005,26,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,46,Married,Asian,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,58,Divorced,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,22,Never Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2005,58,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,No,Si
2008,63,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,No,Si
2007,67,Married,Black,< HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,44,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,51,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,46,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2007,43,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2004,40,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2008,31,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,41,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2008,21,Never Married,Black,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2008,51,Married,White,Some College,Middle Atlantic,Information,>=Very Good,No,No
2003,43,Separated,Black,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2004,34,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,45,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2008,35,Married,Asian,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2004,33,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,46,Married,Black,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,38,Never Married,Black,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,44,Never Married,Black,College Grad,Middle Atlantic,Information,<=Good,Yes,No
2006,50,Never Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2009,55,Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2009,49,Married,White,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,Si
2006,47,Married,Black,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,40,Married,Other,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,21,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2008,60,Married,Black,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2008,56,Never Married,White,< HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2004,61,Married,White,Some College,Middle Atlantic,Industrial,<=Good,No,Si
2008,44,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,43,Divorced,White,Advanced Degree,Middle Atlantic,Industrial,<=Good,Yes,Si
2005,29,Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,No
2003,38,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,No,Si
2003,26,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,28,Never Married,Other,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,38,Never Married,White,College Grad,Middle Atlantic,Information,<=Good,Yes,Si
2006,45,Divorced,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2004,39,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,33,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2005,44,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2006,48,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,45,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,56,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2009,40,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,No,No
2006,71,Married,Black,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2006,30,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,Si
2004,45,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,41,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,40,Married,Other,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,59,Married,White,< HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2007,46,Married,Asian,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,38,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,26,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,53,Married,Black,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2004,46,Divorced,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2007,42,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,28,Never Married,Black,Some College,Middle Atlantic,Industrial,<=Good,No,No
2004,30,Never Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2008,34,Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,46,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,No,Si
2007,22,Never Married,White,Some College,Middle Atlantic,Industrial,<=Good,No,No
2007,37,Never Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2008,27,Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,No
2008,52,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2008,43,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2004,52,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,54,Never Married,Black,Some College,Middle Atlantic,Information,<=Good,Yes,No
2007,47,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2005,21,Never Married,Black,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2005,42,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,72,Married,White,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,Si
2003,38,Married,Asian,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2009,53,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,35,Separated,White,Some College,Middle Atlantic,Information,>=Very Good,No,No
2008,60,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,39,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2005,45,Divorced,Black,HS Grad,Middle Atlantic,Information,<=Good,No,No
2008,61,Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2008,64,Divorced,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2004,39,Married,Asian,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2007,46,Married,Black,Some College,Middle Atlantic,Information,<=Good,Yes,No
2008,25,Never Married,Black,Some College,Middle Atlantic,Information,>=Very Good,No,No
2003,80,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2008,51,Divorced,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,58,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2009,52,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2004,45,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,41,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,42,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2008,31,Never Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,No
2004,49,Divorced,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,47,Divorced,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2005,39,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2006,53,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,37,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2003,52,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2006,41,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,39,Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,63,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,23,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2004,62,Married,Black,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2004,43,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,29,Never Married,Black,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2004,43,Married,Asian,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,34,Married,Black,College Grad,Middle Atlantic,Information,>=Very Good,No,Si
2003,38,Married,Asian,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2005,25,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2005,64,Married,Black,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2003,49,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,46,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,30,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2003,33,Never Married,White,Some College,Middle Atlantic,Industrial,<=Good,No,No
2007,29,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2008,32,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,54,Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2005,40,Never Married,Black,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2005,24,Never Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2008,30,Separated,White,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2009,49,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2006,47,Married,Other,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2008,25,Never Married,Black,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2007,44,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2007,41,Divorced,White,< HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2005,54,Separated,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,59,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,25,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2009,63,Married,Black,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,No,No
2009,49,Never Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2008,35,Separated,Black,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2006,24,Never Married,Asian,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2003,66,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2008,57,Married,Other,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,47,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2006,44,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2006,56,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2004,34,Married,White,HS Grad,Middle Atlantic,Information,<=Good,No,No
2006,23,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2008,30,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2004,38,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2004,43,Married,Black,< HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2007,58,Divorced,White,Some College,Middle Atlantic,Information,<=Good,Yes,No
2005,36,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2007,48,Never Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2005,35,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2006,22,Never Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2007,50,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2004,58,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2003,20,Never Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2007,44,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,50,Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,55,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,39,Never Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2008,32,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,50,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,No,Si
2009,24,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,No,Si
2009,53,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2003,35,Married,White,HS Grad,Middle Atlantic,Information,<=Good,No,No
2003,25,Never Married,White,< HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2006,24,Never Married,Asian,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,57,Separated,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,43,Married,White,< HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2009,33,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2005,40,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2008,39,Never Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,32,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2005,48,Divorced,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2004,29,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,35,Divorced,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,41,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,52,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,50,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2004,35,Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,No,Si
2007,27,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,57,Married,White,Advanced Degree,Middle Atlantic,Industrial,<=Good,Yes,No
2004,48,Married,White,Some College,Middle Atlantic,Information,>=Very Good,No,No
2009,41,Divorced,Black,Some College,Middle Atlantic,Information,<=Good,Yes,No
2005,59,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,No
2003,55,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2005,54,Divorced,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,Si
2003,34,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,43,Never Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2003,43,Divorced,Black,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,62,Widowed,White,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2006,45,Never Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2004,40,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,33,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2005,45,Married,White,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,Si
2009,21,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,No,No
2009,54,Married,Asian,< HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2003,43,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2004,54,Married,White,College Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2004,35,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2008,23,Never Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2006,61,Widowed,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,51,Divorced,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2006,43,Married,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,20,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2007,51,Married,Other,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2009,65,Married,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,Si
2009,37,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2008,24,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2003,36,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2005,45,Married,White,Some College,Middle Atlantic,Information,>=Very Good,No,Si
2008,33,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,36,Divorced,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2004,32,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,45,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2003,51,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2005,33,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,47,Divorced,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,No
2003,37,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2008,41,Married,White,Some College,Middle Atlantic,Information,<=Good,Yes,Si
2005,23,Never Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,No,No
2009,57,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2006,61,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,47,Divorced,White,Some College,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,29,Married,Asian,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2005,37,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,57,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2004,39,Never Married,White,Advanced Degree,Middle Atlantic,Information,<=Good,No,No
2007,59,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2007,31,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,26,Never Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2009,51,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2006,38,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,No,No
2006,51,Married,White,College Grad,Middle Atlantic,Information,<=Good,No,Si
2004,50,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2005,32,Married,White,Advanced Degree,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2007,38,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2005,49,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,Si
2005,40,Never Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
2007,60,Married,Asian,Advanced Degree,Middle Atlantic,Information,<=Good,Yes,Si
2007,30,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2003,41,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2009,32,Never Married,White,Some College,Middle Atlantic,Information,<=Good,Yes,No
2009,26,Never Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2004,41,Married,White,Some College,Middle Atlantic,Industrial,<=Good,Yes,No
2008,53,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,Si
2005,35,Married,White,Some College,Middle Atlantic,Information,>=Very Good,No,No
2008,50,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,43,Married,White,College Grad,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,50,Separated,White,HS Grad,Middle Atlantic,Information,<=Good,Yes,No
2009,19,Never Married,Black,HS Grad,Middle Atlantic,Information,<=Good,No,No
2004,42,Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,No,No
2007,53,Married,Asian,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2004,22,Never Married,Black,Some College,Middle Atlantic,Information,<=Good,No,No
2003,49,Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2005,33,Never Married,White,HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,31,Never Married,White,HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2004,43,Married,White,< HS Grad,Middle Atlantic,Industrial,<=Good,Yes,No
2009,57,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,No,No
2005,40,Married,White,Advanced Degree,Middle Atlantic,Information,>=Very Good,Yes,Si
2003,48,Married,White,HS Grad,Middle Atlantic,Information,>=Very Good,Yes,No
2004,46,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2009,58,Married,White,College Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2003,50,Married,White,< HS Grad,Middle Atlantic,Industrial,>=Very Good,Yes,No
2005,38,Married,White,Some College,Middle Atlantic,Information,>=Very Good,Yes,No
